Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-F-n06_fun_fwd-n06_fun_rev-rc-R2	91.1697247706422	53.0	224.0	27.27272727272727	2616.0
P01-01-F-n06_fun_fwd-n07_fun_rev-rc-R2	66.66666666666667	53.0	223.0	30.0	9.0
P01-01-F-n06_gi_fwd-n06_gi_rev-rc-R2	87.32394366197184	41.0	227.0	27.27272727272727	284.0
P01-01-F-n06_gi_fwd-n07_gi_rev-rc-R2	83.5	42.0	226.0	36.36363636363637	200.0
P01-01-F-n06_gi_fwd-n08_gi_rev-rc-R2	75.0	42.0	225.0	40.0	4.0
P01-01-F-n07_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	30.0	3.0
P01-01-F-n07_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	2.0
P01-01-F-n07_gi_fwd-n07_gi_rev-rc-R2	92.98380878951426	42.0	225.97301464919045	36.36363636363637	1297.0
P01-01-F-n07_gi_fwd-n08_gi_rev-rc-R2	83.78378378378378	42.0	225.0	36.36363636363637	37.0
P01-01-F-n07_gi_fwd-n09_gi_rev-rc-R2	33.33333333333334	41.0	224.0	30.0	3.0
P01-01-F-n08_gi_fwd-n07_gi_rev-rc-R2	69.56521739130434	42.0	226.0	27.27272727272727	23.0
P01-01-F-n08_gi_fwd-n08_gi_rev-rc-R2	90.9502262443439	41.0	225.0	36.36363636363637	1105.0
P01-01-F-n08_gi_fwd-n09_gi_rev-rc-R2	65.21739130434783	42.0	224.0	36.36363636363637	23.0
P01-01-F-n09_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	30.0	1.0
P01-01-F-n09_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-F-n09_gi_fwd-n08_gi_rev-rc-R2	65.21739130434783	42.0	225.0	27.27272727272727	23.0
P01-01-F-n09_gi_fwd-n09_gi_rev-rc-R2	88.20754716981132	42.0	224.0	36.36363636363637	636.0
P01-01-F-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	42.0	223.0	20.0	1.0
P01-01-F-n10_gi_fwd-n09_gi_rev-rc-R2	50.0	42.0	224.0	30.0	2.0
P01-01-G-n02_fun_fwd-n03_fun_rev-rc-R2	66.66666666666667	53.0	227.0	40.0	3.0
P01-01-G-n03_fun_fwd-n01_fun_rev-rc-R2	0.0	53.0	229.0	20.0	1.0
P01-01-G-n03_fun_fwd-n02_fun_rev-rc-R2	16.666666666666657	53.0	228.0	30.0	6.0
P01-01-G-n03_fun_fwd-n03_fun_rev-rc-R2	87.85529715762274	54.0	227.0	27.27272727272727	774.0
P01-01-G-n03_fun_fwd-n04_fun_rev-rc-R2	0.0	54.0	226.0	30.0	2.0
P01-01-G-n04_fun_fwd-n03_fun_rev-rc-R2	0.0	54.0	227.0	30.0	2.0
P01-01-G-n04_fun_fwd-n04_fun_rev-rc-R2	88.88888888888889	54.0	225.52955082742318	27.27272727272727	423.0
P01-01-G-n04_fun_fwd-n05_fun_rev-rc-R2	42.85714285714286	53.0	225.0	30.0	7.0
P01-01-G-n04_gi_fwd-n08_gi_rev-rc-R2	0.0	42.0	225.0	20.0	1.0
P01-01-G-n05_fun_fwd-n04_fun_rev-rc-R2	62.5	54.0	226.0	40.0	8.0
P01-01-G-n05_fun_fwd-n05_fun_rev-rc-R2	85.66610455311972	54.0	225.0	27.27272727272727	593.0
