Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-C-n05_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-C-n06_fun_fwd-n05_fun_rev-rc-R2	83.33333333333334	53.0	225.0	30.0	6.0
P01-01-C-n06_fun_fwd-n06_fun_rev-rc-R2	83.13253012048193	53.0	224.0	27.27272727272727	332.0
P01-01-C-n06_gi_fwd-n05_gi_rev-rc-R2	80.0	42.0	228.0	30.0	5.0
P01-01-C-n06_gi_fwd-n06_gi_rev-rc-R2	88.81118881118881	42.0	227.0	36.36363636363637	715.0
P01-01-C-n06_gi_fwd-n07_gi_rev-rc-R2	75.0	42.0	226.0	36.36363636363637	32.0
P01-01-C-n06_gi_fwd-n08_gi_rev-rc-R2	0.0	41.0	225.0	20.0	1.0
P01-01-C-n07_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	30.0	2.0
P01-01-C-n07_gi_fwd-n06_gi_rev-rc-R2	50.0	41.0	227.0	30.0	2.0
P01-01-C-n07_gi_fwd-n07_gi_rev-rc-R2	86.01036269430051	42.0	226.0	36.36363636363637	193.0
P01-01-C-n07_gi_fwd-n08_gi_rev-rc-R2	92.0	41.0	225.0	36.36363636363637	25.0
P01-01-C-n08_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	1.0
P01-01-C-n08_gi_fwd-n07_gi_rev-rc-R2	75.0	42.0	226.0	40.0	4.0
P01-01-C-n08_gi_fwd-n08_gi_rev-rc-R2	90.96385542168674	41.0	225.0	36.36363636363637	830.0
P01-01-C-n08_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	42.0	224.0	27.27272727272727	12.0
P01-01-C-n09_gi_fwd-n08_gi_rev-rc-R2	84.61538461538461	41.0	225.0	36.36363636363637	13.0
P01-01-C-n09_gi_fwd-n09_gi_rev-rc-R2	85.41033434650456	42.0	224.0	36.36363636363637	329.0
P01-01-C-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	42.0	223.0	20.0	1.0
P01-01-C-n10_gi_fwd-n09_gi_rev-rc-R2	0.0	41.0	224.0	20.0	1.0
P01-01-D-n01_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	20.0	1.0
P01-01-D-n02_fun_fwd-n03_fun_rev-rc-R2	33.33333333333334	54.0	227.0	30.0	3.0
P01-01-D-n02_fun_fwd-n04_fun_rev-rc-R2	50.0	53.0	226.0	20.0	2.0
P01-01-D-n02_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	30.0	2.0
P01-01-D-n03_fun_fwd-n01_fun_rev-rc-R2	0.0	54.0	229.0	20.0	1.0
P01-01-D-n03_fun_fwd-n02_fun_rev-rc-R2	60.0	53.0	228.0	36.36363636363637	20.0
P01-01-D-n03_fun_fwd-n03_fun_rev-rc-R2	88.50439882697947	53.0	225.883284457478	36.36363636363637	1705.0
P01-01-D-n03_fun_fwd-n04_fun_rev-rc-R2	79.41176470588235	54.0	226.0	36.36363636363637	34.0
P01-01-D-n04_fun_fwd-n01_fun_rev-rc-R2	0.0	54.0	229.0	20.0	1.0
P01-01-D-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	30.0	3.0
P01-01-D-n04_fun_fwd-n03_fun_rev-rc-R2	76.47058823529412	53.0	227.0	27.27272727272727	51.0
P01-01-D-n04_fun_fwd-n04_fun_rev-rc-R2	96.13965370422935	54.0	226.0	36.36363636363637	7046.0
P01-01-D-n04_fun_fwd-n05_fun_rev-rc-R2	73.6842105263158	53.0	225.0	36.36363636363637	19.0
P01-01-D-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	2.0
P01-01-D-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	20.0	1.0
P01-01-D-n05_fun_fwd-n04_fun_rev-rc-R2	77.77777777777777	54.0	226.0	36.36363636363637	45.0
P01-01-D-n05_fun_fwd-n05_fun_rev-rc-R2	91.1544227886057	53.0	225.0	27.27272727272727	2668.0
P01-01-D-n05_fun_fwd-n06_fun_rev-rc-R2	60.0	53.0	224.0	27.27272727272727	10.0
P01-01-D-n05_gi_fwd-n06_gi_rev-rc-R2	76.19047619047619	41.0	227.0	36.36363636363637	21.0
P01-01-D-n05_gi_fwd-n07_gi_rev-rc-R2	0.0	42.0	226.0	30.0	3.0
