Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-F-n07_gi_fwd-n08_gi_rev-rc-R2	P01-01-F-n07_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38.0	0.0	225.0	42.0	15.789473684210526	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
P01-01-F-n07_gi_fwd-n09_gi_rev-rc-R2	P01-01-F-n07_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	41.0	66.66666666666666	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n08_gi_fwd-n04_gi_rev-rc-R2	P01-01-F-n08_gi_fwd-n04_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	229.0	42.0	100.0	229.0	pass	pass	warn	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n08_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n08_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	226.0	42.0	30.434782608695656	226.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-F-n08_gi_fwd-n08_gi_rev-rc-R2	P01-01-F-n08_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1123.0	0.0	225.0	41.0	9.43900267141585	225.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n08_gi_fwd-n09_gi_rev-rc-R2	P01-01-F-n08_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	224.0	42.0	34.78260869565217	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n09_gi_fwd-n06_gi_rev-rc-R2	P01-01-F-n09_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Illumina 1.5	1.0	0.0	227.0	41.0	100.0	227.0	pass	pass	fail	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n09_gi_fwd-n07_gi_rev-rc-R2	P01-01-F-n09_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	226.0	42.0	50.0	226.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-F-n09_gi_fwd-n08_gi_rev-rc-R2	P01-01-F-n09_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	225.0	42.0	34.78260869565217	225.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-F-n09_gi_fwd-n09_gi_rev-rc-R2	P01-01-F-n09_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	643.0	0.0	224.0	42.0	11.975116640746501	224.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-F-n09_gi_fwd-n10_gi_rev-rc-R2	P01-01-F-n09_gi_fwd-n10_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	42.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-F-n10_gi_fwd-n09_gi_rev-rc-R2	P01-01-F-n10_gi_fwd-n09_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	224.0	42.0	50.0	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n02_fun_fwd-n03_fun_rev-rc-R2	P01-01-G-n02_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	227.0	53.0	33.33333333333333	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-G-n03_fun_fwd-n01_fun_rev-rc-R2	P01-01-G-n03_fun_fwd-n01_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	229.0	53.0	100.0	229.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n03_fun_fwd-n02_fun_rev-rc-R2	P01-01-G-n03_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6.0	0.0	228.0	53.0	83.33333333333334	228.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n03_fun_fwd-n03_fun_rev-rc-R2	P01-01-G-n03_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	789.0	0.0	227.0	53.0	12.801013941698352	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-G-n03_fun_fwd-n04_fun_rev-rc-R2	P01-01-G-n03_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	226.0	54.0	100.0	226.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n04_fun_fwd-n03_fun_rev-rc-R2	P01-01-G-n04_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	227.0	54.0	100.0	227.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n04_fun_fwd-n04_fun_rev-rc-R2	P01-01-G-n04_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	427.0	0.0	25-226	54.0	11.241217798594848	225.53395784543326	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	pass
P01-01-G-n04_fun_fwd-n05_fun_rev-rc-R2	P01-01-G-n04_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	0.0	225.0	53.0	57.14285714285714	225.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-G-n04_gi_fwd-n08_gi_rev-rc-R2	P01-01-G-n04_gi_fwd-n08_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	42.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n05_fun_fwd-n01_fun_rev-rc-R2	P01-01-G-n05_fun_fwd-n01_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	229.0	55.0	100.0	229.0	pass	pass	warn	fail	pass	pass	pass	pass	fail	pass	
P01-01-G-n05_fun_fwd-n04_fun_rev-rc-R2	P01-01-G-n05_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	226.0	54.0	44.44444444444444	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-G-n05_fun_fwd-n05_fun_rev-rc-R2	P01-01-G-n05_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	610.0	0.0	225.0	54.0	14.918032786885247	225.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-G-n05_fun_fwd-n06_fun_rev-rc-R2	P01-01-G-n05_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	54.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-G-n05_gi_fwd-n06_gi_rev-rc-R2	P01-01-G-n05_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12.0	0.0	227.0	42.0	16.666666666666664	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-G-n06_fun_fwd-n05_fun_rev-rc-R2	P01-01-G-n06_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	225.0	54.0	50.0	225.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
